Region,Year,Season,ACI_Combined_Seasonal_Smoothed,ACI_Combined_Seasonal_Unsmoothed,CDD_Seasonal_Smoothed,CDD_Seasonal_Unsmoothed,CDD_Seasonal_Unsmoothed_Unstandardized,Rx5Day_Seasonal_Smoothed,Rx5Day_Seasonal_Unsmoothed,Rx5Day_Seasonal_Unsmoothed_Unstandardized,Sea_Level_Seasonal_Smoothed,Sea_Level_Seasonal_Unsmoothed,Sea_Level_Seasonal_Unsmoothed_Unstandardized,T10_Seasonal_Smoothed,T10_Seasonal_Unsmoothed,T10_Seasonal_Unsmoothed_Unstandardized,T90_Seasonal_Smoothed,T90_Seasonal_Unsmoothed,T90_Seasonal_Unsmoothed_Unstandardized,WP90_Seasonal_Smoothed,WP90_Seasonal_Unsmoothed,WP90_Seasonal_Unsmoothed_Unstandardized
SEA,1963,1,-0.25,-0.9,-0.35,-0.03,22.21,0.04,-1.56,40.7,-0.91,-0.91,6918.39,0.04,1.88,18.72,-0.16,-0.89,5.85,-0.08,-0.19,9.65
SPL,1963,1,-0.25,-0.39,0.03,0.41,41.22,-0.21,-1.38,13.9,-1.33,-1.33,6825.78,0.06,0.89,14.07,-0.18,1.1,13.48,0.22,0.25,10.51
SWP,1963,1,0.04,0.23,0.56,0.79,75.55,-0.51,0.39,32.35,-0.15,-0.15,7045.0,-0.25,0.38,11.36,0.29,1.46,16.3,-0.2,-0.79,7.0
CAN,1963,1,0.14,0.27,0.75,-1.08,22.51,-0.11,1.61,30.84,-0.32,-0.32,6938.37,-0.12,0.11,10.76,-0.12,1.11,14.13,0.51,1.39,12.5
USA,1963,1,-0.09,-0.51,0.41,0.31,40.55,-0.26,-1.33,25.72,-0.48,-0.48,6969.77,-0.09,1.15,13.83,-0.17,1.13,13.0,-0.13,-0.99,8.62
USC,1963,1,-0.01,-0.14,0.5,0.1,36.02,-0.27,-0.81,27.4,-0.46,-0.46,6963.16,-0.13,0.68,12.47,-0.17,1.22,13.49,0.19,0.54,10.55
ALA,1963,2,0.17,0.55,-0.27,-1.35,29.25,0.46,3.0,29.63,1.16,1.16,7048.7,0.04,0.1,10.73,-0.37,-0.17,8.75,0.1,1.17,13.27
CAR,1963,2,-0.03,-0.86,,,,0.29,-1.89,6.13,,,,0.05,0.39,12.04,-0.33,-0.31,9.11,-0.04,-0.86,7.85
CEA,1963,2,-0.34,-0.41,-0.33,0.89,18.37,-0.23,-1.5,33.22,-0.83,-0.83,6956.27,0.09,-0.64,8.04,-0.18,-0.73,7.15,-0.4,-0.48,8.88
CWP,1963,2,0.06,0.12,0.29,-0.3,42.94,-0.38,0.94,37.29,-0.08,-0.08,7007.47,-0.2,-0.43,8.01,0.22,-0.47,7.76,0.11,-0.27,9.4
MID,1963,2,0.02,0.4,0.54,0.39,24.77,-0.1,0.01,42.88,,,,0.06,-0.83,7.2,-0.15,0.54,12.38,-0.12,0.23,10.64
NEA,1963,2,-0.11,-0.28,0.69,1.04,17.03,0.04,-0.04,42.02,-1.17,-1.17,6858.33,-0.19,-0.01,9.95,-0.05,-0.83,6.3,-0.36,-0.18,9.64
NEF,1963,2,0.0,-0.21,1.2,0.84,18.98,-0.38,-0.62,30.08,-0.58,-0.58,6976.25,-0.05,-0.43,8.75,-0.23,-0.68,7.32,-0.06,-0.08,9.85
NPL,1963,2,0.24,-0.19,0.02,-0.58,29.12,-0.27,-0.65,16.65,1.16,1.16,7236.67,-0.01,-0.31,8.78,-0.13,-0.2,9.16,0.64,-0.75,8.27
NWP,1963,2,0.37,-0.09,0.59,-1.08,21.18,0.63,-0.24,31.86,-0.24,-0.24,6984.81,-0.06,-0.03,9.66,0.04,-0.18,9.31,1.16,0.89,11.86
SEA,1963,2,-0.2,0.35,-0.27,0.97,24.21,0.01,-0.04,62.87,-0.95,-0.95,6917.8,0.0,-1.09,6.77,0.0,1.58,14.57,-0.02,0.37,11.09
SPL,1963,2,-0.22,-0.11,0.07,0.6,41.83,-0.25,-1.58,29.33,-1.34,-1.34,6904.0,0.0,-1.43,5.5,-0.05,1.55,14.7,0.27,-0.81,8.21
SWP,1963,2,0.03,0.08,0.6,0.59,74.05,-0.62,-0.52,18.05,-0.24,-0.24,6973.21,-0.26,-0.33,8.52,0.3,-0.14,9.16,-0.14,0.4,11.84
CAN,1963,2,0.11,-0.55,0.7,-0.64,23.18,-0.04,-0.82,26.05,-0.37,-0.37,6989.97,-0.06,-0.08,9.79,-0.17,-0.5,8.34,0.47,-0.56,9.2
USA,1963,2,-0.08,0.11,0.43,0.49,41.03,-0.28,-0.45,34.59,-0.58,-0.58,6965.71,-0.09,-0.96,7.59,-0.09,0.68,11.47,-0.03,0.32,10.58
USC,1963,2,-0.02,-0.18,0.52,0.34,36.54,-0.27,-0.58,32.15,-0.54,-0.54,6970.82,-0.09,-0.52,8.59,-0.16,0.05,10.11,0.24,-0.11,9.89
ALA,1963,3,0.15,0.19,-0.34,-1.05,30.54,0.46,0.53,36.35,1.15,1.15,7087.15,0.16,1.55,15.02,-0.45,-0.92,6.4,0.24,2.92,17.45
CAR,1963,3,-0.07,0.1,,,,0.34,0.26,28.45,,,,0.08,-0.52,8.41,-0.42,-0.58,8.29,-0.11,0.19,10.31
CEA,1963,3,-0.34,-0.21,-0.2,1.95,20.29,-0.3,-1.25,41.28,-0.85,-0.85,6999.53,0.08,0.67,11.53,-0.1,0.25,10.5,-0.52,0.29,10.69
CWP,1963,3,-0.01,-0.66,0.25,-0.41,42.18,-0.4,-0.55,15.13,-0.14,-0.14,6937.0,-0.06,0.57,11.14,0.1,-1.28,4.82,0.07,-1.11,6.36
MID,1963,3,0.02,-0.05,0.53,0.78,25.78,-0.25,-0.94,48.18,,,,-0.04,-0.39,8.75,-0.1,0.19,10.69,-0.12,-0.68,8.11
NEA,1963,3,-0.11,-0.42,0.78,0.42,15.98,0.01,0.13,49.33,-1.19,-1.19,6905.0,-0.18,0.38,11.1,0.0,-0.42,8.36,-0.42,-0.78,8.5
NEF,1963,3,-0.02,-0.09,1.15,1.14,19.47,-0.41,-0.5,43.64,-0.63,-0.63,6692.6,-0.12,-0.07,9.67,-0.13,0.51,12.19,-0.21,-0.54,9.09
NPL,1963,3,0.25,0.2,0.02,-0.16,30.62,-0.17,0.93,40.47,1.14,1.14,7336.67,-0.12,-1.34,5.5,-0.12,-0.13,9.62,0.51,-1.51,6.95
NWP,1963,3,0.25,-0.09,0.47,-1.02,21.34,0.64,-0.49,33.25,-0.24,-0.24,7033.72,0.02,-0.26,8.88,-0.18,-0.61,8.04,0.85,1.02,12.33
SEA,1963,3,-0.21,-0.28,-0.15,1.96,26.22,-0.04,-0.64,61.7,-0.97,-0.97,6981.51,0.05,0.34,10.66,-0.01,-0.06,8.56,-0.06,-0.43,8.88
SPL,1963,3,-0.21,0.0,0.1,0.8,42.44,-0.29,-0.63,39.26,-1.37,-1.37,6874.11,-0.13,-2.04,5.0,-0.04,0.68,11.75,0.21,-0.62,8.45
SWP,1963,3,0.01,-0.18,0.65,0.4,72.54,-0.6,-0.57,17.5,-0.26,-0.26,7053.46,-0.19,0.14,9.82,0.24,-0.7,7.25,-0.13,-0.12,9.53
CAN,1963,3,0.07,-0.08,0.65,-0.19,23.86,0.03,0.34,39.92,-0.42,-0.42,6938.01,-0.12,-0.68,8.35,-0.19,-0.1,9.84,0.23,-0.4,9.56
USA,1963,3,-0.11,-0.41,0.47,0.66,41.5,-0.39,-1.33,37.16,-0.63,-0.63,7004.48,-0.06,-0.05,9.51,-0.11,-0.19,8.94,-0.04,0.03,10.07
USC,1963,3,-0.06,-0.35,0.54,0.57,37.07,-0.35,-1.27,37.83,-0.6,-0.6,6990.48,-0.11,-0.41,9.07,-0.18,-0.18,9.28,0.1,-0.19,9.82
ALA,1963,4,0.17,-0.02,-0.37,-0.75,31.83,0.45,-0.75,29.97,1.18,1.18,7282.74,0.13,0.49,12.17,-0.41,-0.2,8.77,0.3,0.17,10.33
CAR,1963,4,-0.07,-0.33,,,,0.24,-1.29,9.85,,,,0.09,-0.09,9.86,-0.33,1.15,14.25,-0.11,-1.28,6.93
CEA,1963,4,-0.32,0.54,-0.01,3.01,22.22,-0.3,0.08,49.8,-0.88,-0.88,7016.06,0.07,-0.26,8.9,-0.03,1.27,15.54,-0.6,-0.21,9.28
CWP,1963,4,0.0,0.59,0.21,-0.51,41.42,-0.36,-0.04,32.82,-0.1,-0.1,7057.46,-0.12,-1.36,2.38,0.18,2.24,18.26,-0.04,-0.49,8.54
MID,1963,4,0.02,0.53,0.51,1.17,26.8,-0.32,-1.92,27.24,,,,-0.09,-1.8,3.11,0.01,2.77,20.38,-0.21,-1.15,6.22
NEA,1963,4,-0.08,0.11,0.85,-0.21,14.93,0.09,1.63,58.06,-1.22,-1.22,6968.33,-0.18,0.1,10.53,0.08,1.01,14.28,-0.47,-0.79,7.92
NEF,1963,4,-0.04,0.07,1.1,1.43,19.95,-0.51,-1.88,30.83,-0.64,-0.64,6757.07,-0.14,-0.82,6.84,-0.01,2.33,18.89,-0.32,-1.49,7.09
NPL,1963,4,0.25,0.5,0.02,0.25,32.12,-0.27,-1.39,13.65,1.14,1.14,7490.0,-0.17,-1.28,3.34,0.05,3.14,22.42,0.37,-1.7,5.62
NWP,1963,4,0.26,0.63,0.33,-0.95,21.49,0.63,0.94,55.31,-0.16,-0.16,7105.56,-0.03,-0.65,6.66,-0.09,1.32,15.49,0.8,0.31,10.76
SEA,1963,4,-0.17,0.6,0.01,2.96,28.23,-0.01,-0.28,56.35,-0.99,-0.99,7071.46,0.05,-0.66,7.35,0.01,0.45,11.41,0.02,0.92,12.28
SPL,1963,4,-0.21,0.31,0.14,0.99,43.06,-0.33,-1.24,26.6,-1.43,-1.43,7052.11,-0.21,-2.29,1.91,0.12,3.31,18.89,0.04,-2.05,5.26
SWP,1963,4,0.03,0.48,0.7,0.21,71.03,-0.54,0.12,23.9,-0.3,-0.3,7095.71,-0.24,-1.85,2.62,0.26,1.52,13.96,-0.18,-1.12,5.4
CAN,1963,4,0.06,0.36,0.57,0.25,24.54,-0.08,-1.09,33.71,-0.38,-0.38,7012.11,-0.16,-1.03,6.52,0.0,3.15,18.27,0.13,-1.63,7.44
USA,1963,4,-0.08,0.53,0.53,0.84,41.97,-0.4,-1.26,32.67,-0.65,-0.65,7083.94,-0.13,-1.96,4.91,0.03,3.0,15.37,-0.13,-1.23,7.89
USC,1963,4,-0.04,0.46,0.58,0.81,37.59,-0.39,-1.38,33.03,-0.6,-0.6,7068.82,-0.17,-1.63,5.59,0.0,3.52,16.64,-0.02,-1.9,7.67
ALA,1964,1,0.18,0.35,-0.38,-0.66,32.21,0.53,0.75,23.73,1.18,1.18,7217.82,0.15,-0.76,5.82,-0.37,-0.04,10.19,0.27,0.12,10.34
CAR,1964,1,-0.08,0.22,,,,0.22,0.23,10.75,,,,0.07,-0.99,5.4,-0.27,0.51,13.11,-0.2,-0.84,7.51
CEA,1964,1,-0.26,0.25,0.22,3.57,23.24,-0.29,-0.01,38.0,-0.86,-0.86,6897.21,0.01,0.32,11.93,-0.01,-0.71,7.05,-0.61,0.28,10.77
CWP,1964,1,-0.05,-0.81,0.18,-0.61,40.76,-0.4,-1.42,32.52,-0.16,-0.16,7052.38,-0.09,-0.07,9.51,0.08,-1.15,4.98,-0.09,-1.04,6.2
MID,1964,1,0.04,0.06,0.51,1.45,27.52,-0.37,-1.67,14.09,,,,-0.12,0.16,11.03,0.09,0.34,11.41,-0.13,0.33,10.86
NEA,1964,1,-0.05,-0.28,0.9,-0.57,14.34,0.1,-0.32,39.35,-1.2,-1.2,6975.0,-0.3,-0.56,8.23,0.09,-1.0,6.8,-0.46,0.69,11.9
NEF,1964,1,-0.02,0.09,1.05,1.48,20.03,-0.51,-0.93,23.24,-0.63,-0.63,6733.07,-0.24,-0.35,9.07,0.08,0.17,10.68,-0.35,0.55,10.91
NPL,1964,1,0.24,0.33,0.02,0.48,32.92,-0.31,-1.13,10.16,1.12,1.12,7433.33,-0.22,-0.92,5.44,0.11,0.48,12.95,0.28,-0.25,9.32
NWP,1964,1,0.24,0.2,0.18,-1.05,21.27,0.65,0.49,47.86,-0.19,-0.19,7079.78,-0.07,-1.03,3.89,-0.06,0.12,10.92,0.82,0.8,11.66
SEA,1964,1,-0.17,-0.23,0.18,3.43,29.19,0.0,0.0,56.74,-1.05,-1.05,6853.77,0.09,0.89,14.27,-0.05,-1.33,3.81,-0.01,-0.5,9.06
SPL,1964,1,-0.2,-0.41,0.17,1.13,43.49,-0.31,-0.68,16.8,-1.49,-1.49,6773.67,-0.19,0.29,11.38,0.12,-0.79,7.63,0.11,0.63,11.23
SWP,1964,1,-0.02,-0.84,0.74,0.15,70.6,-0.59,-1.78,12.41,-0.37,-0.37,7022.17,-0.13,1.12,14.31,0.17,-1.2,4.76,-0.18,-0.54,7.96
CAN,1964,1,0.06,0.11,0.49,0.4,24.76,-0.08,-0.38,26.14,-0.4,-0.4,6986.98,-0.23,-1.0,6.49,0.07,0.35,11.53,0.04,-0.2,9.64
USA,1964,1,-0.09,-0.63,0.58,0.96,42.29,-0.43,-1.69,24.41,-0.68,-0.68,6959.3,-0.1,0.39,11.39,0.0,-1.11,7.2,-0.12,-0.26,9.65
USC,1964,1,-0.05,-0.4,0.62,0.94,37.89,-0.41,-1.8,24.96,-0.63,-0.63,6965.13,-0.18,-0.32,9.17,0.03,-0.37,9.17,-0.09,-0.37,9.65
ALA,1964,2,0.16,-0.77,-0.42,-1.0,30.77,0.55,0.36,20.72,1.11,1.11,7015.22,0.22,2.43,28.28,-0.4,-1.28,2.09,0.31,-0.37,8.99
CAR,1964,2,-0.09,-1.29,,,,0.33,0.38,12.98,,,,0.16,2.69,22.34,-0.31,-1.68,3.53,-0.2,-1.15,7.12
CEA,1964,2,-0.22,0.36,0.41,3.15,22.47,-0.26,-0.63,39.63,-0.87,-0.87,6945.74,0.03,-0.17,9.39,-0.01,0.54,12.11,-0.55,0.48,11.17
CWP,1964,2,-0.11,-1.11,0.13,-0.67,40.28,-0.45,-1.36,20.82,-0.24,-0.24,6915.47,0.03,1.88,16.07,0.03,-1.43,3.49,-0.1,0.11,10.25
MID,1964,2,0.09,1.17,0.53,1.51,27.68,-0.31,1.0,48.8,,,,-0.1,-0.44,8.51,0.11,0.41,11.84,0.0,2.47,16.73
NEA,1964,2,-0.05,-0.81,0.95,-0.36,14.68,0.11,-0.79,35.71,-1.23,-1.23,6825.0,-0.27,0.11,10.52,0.09,-0.31,8.75,-0.47,-0.95,8.04
NEF,1964,2,-0.03,0.24,1.03,1.05,19.32,-0.45,0.49,34.74,-0.71,-0.71,6878.47,-0.22,0.03,10.13,0.12,0.57,12.69,-0.36,1.02,12.12
NPL,1964,2,0.24,0.11,0.02,0.31,32.33,-0.17,1.16,21.36,1.11,1.11,7263.33,-0.2,0.81,14.11,0.1,-0.7,6.5,0.16,-0.19,9.59
NWP,1964,2,0.15,-1.11,0.04,-1.47,20.28,0.48,-0.07,32.49,-0.25,-0.25,6898.46,0.01,2.14,20.07,-0.11,-1.56,3.61,0.76,0.37,10.79
SEA,1964,2,-0.13,0.58,0.35,2.87,28.05,0.07,1.22,76.33,-1.06,-1.06,6927.08,0.09,-0.84,7.48,-0.07,0.29,10.43,-0.01,-0.05,9.88
SPL,1964,2,-0.18,0.2,0.21,1.15,43.55,-0.3,-0.51,33.54,-1.5,-1.5,6931.0,-0.2,-0.09,9.73,0.15,-0.07,9.66,0.15,2.06,14.61
SWP,1964,2,-0.05,-0.72,0.77,0.37,72.32,-0.54,-0.53,17.99,-0.47,-0.47,6906.63,-0.01,1.62,15.74,0.11,-0.82,6.11,-0.14,0.31,11.45
CAN,1964,2,0.02,-0.67,0.43,-0.06,24.07,-0.05,0.64,29.13,-0.48,-0.48,6910.43,-0.17,1.51,15.42,0.06,-0.71,7.54,0.0,-0.48,9.31
USA,1964,2,-0.09,-0.35,0.62,0.96,42.31,-0.35,0.17,36.71,-0.73,-0.73,6943.64,-0.01,1.56,13.6,-0.03,-0.76,7.95,-0.05,1.12,12.03
USC,1964,2,-0.06,-0.49,0.64,0.87,37.72,-0.34,0.28,34.46,-0.7,-0.7,6936.65,-0.1,1.68,14.44,0.01,-0.84,7.79,-0.07,0.63,10.68
ALA,1964,3,0.12,-0.26,-0.51,-1.33,29.33,0.48,-0.23,31.54,1.09,1.09,7098.58,0.14,-0.28,8.23,-0.4,-0.7,7.19,0.23,-0.98,7.52
CAR,1964,3,-0.06,-0.89,,,,0.26,-1.47,11.04,,,,0.04,0.67,11.91,-0.27,-1.07,6.61,-0.18,-0.33,9.51
CEA,1964,3,-0.24,-0.55,0.57,2.72,21.7,-0.33,-1.4,40.1,-0.87,-0.87,6998.65,0.17,1.85,14.61,-0.11,-0.2,8.74,-0.54,-0.71,8.42
CWP,1964,3,-0.13,-0.49,0.06,-0.74,39.81,-0.36,0.63,20.78,-0.24,-0.24,6945.4,0.12,1.54,13.95,-0.03,-1.24,4.97,-0.09,-0.24,9.24
MID,1964,3,0.07,0.51,0.56,1.57,27.83,-0.36,-0.69,49.65,,,,-0.01,0.38,10.74,0.09,0.53,12.47,0.08,1.53,14.28
NEA,1964,3,-0.08,-1.22,0.98,-0.16,15.01,0.05,-0.98,40.01,-1.19,-1.19,6891.67,-0.13,2.08,16.11,0.0,-1.17,5.37,-0.45,-1.05,7.98
NEF,1964,3,-0.06,-0.23,1.02,0.61,18.6,-0.49,-0.07,45.0,-0.77,-0.77,6655.33,-0.09,1.21,13.54,0.04,-0.29,8.94,-0.27,1.03,11.79
NPL,1964,3,0.22,-0.19,0.02,0.15,31.74,-0.19,-0.52,32.8,1.07,1.07,7340.0,-0.2,0.13,10.39,0.09,-0.68,7.43,0.1,-0.68,8.64
NWP,1964,3,0.14,-0.26,-0.08,-1.89,19.3,0.52,1.5,42.68,-0.22,-0.22,7035.82,-0.03,0.6,11.29,-0.11,-1.17,6.18,0.67,0.24,10.56
SEA,1964,3,-0.12,0.14,0.5,2.3,26.9,0.04,0.2,67.75,-1.1,-1.1,6988.95,0.16,0.14,10.04,-0.05,0.3,10.35,0.05,0.13,10.36
SPL,1964,3,-0.17,0.25,0.25,1.17,43.62,-0.32,-0.07,41.66,-1.53,-1.53,6903.45,-0.18,-0.16,9.38,0.19,0.87,12.44,0.21,1.23,13.12
SWP,1964,3,-0.08,-0.35,0.77,0.59,74.03,-0.52,-0.63,17.31,-0.57,-0.57,7000.08,0.07,0.26,10.1,0.04,-0.61,7.55,-0.11,0.39,11.66
CAN,1964,3,-0.02,-0.57,0.37,-0.51,23.38,-0.07,0.18,39.49,-0.52,-0.52,6926.92,-0.12,1.1,12.24,0.01,-0.99,7.44,-0.01,-0.01,10.01
USA,1964,3,-0.11,-0.19,0.64,0.97,42.32,-0.41,-0.6,38.93,-0.78,-0.78,7002.53,0.07,0.47,10.26,-0.04,0.09,9.68,-0.01,0.62,11.04
USC,1964,3,-0.09,-0.36,0.65,0.8,37.56,-0.41,-0.58,39.04,-0.75,-0.75,6986.61,-0.03,0.9,11.01,-0.02,-0.38,8.82,-0.04,0.48,10.53
ALA,1964,4,0.11,0.09,-0.63,-1.67,27.89,0.47,-0.5,31.23,1.08,1.08,7185.09,0.1,-1.17,4.5,-0.4,0.16,10.65,0.25,0.72,11.36
CAR,1964,4,0.0,0.48,,,,0.43,3.12,38.41,,,,-0.07,-0.67,7.36,-0.24,-0.44,8.85,-0.28,-1.41,6.63
CEA,1964,4,-0.27,-0.39,0.7,2.3,20.93,-0.47,-1.48,36.03,-0.85,-0.85,7022.2,0.17,0.55,11.64,-0.22,-0.4,8.34,-0.59,-1.19,5.91
CWP,1964,4,-0.17,-0.55,-0.01,-0.8,39.34,-0.39,-0.62,27.67,-0.27,-0.27,6982.0,0.1,0.29,11.36,-0.08,-0.75,7.01,-0.16,-0.17,9.48
MID,1964,4,0.08,0.16,0.61,1.63,27.98,-0.46,-1.1,34.43,,,,-0.07,0.52,11.85,0.15,0.65,12.5,0.04,0.11,10.38
NEA,1964,4,-0.12,-0.59,1.0,0.04,15.35,-0.07,-0.55,43.41,-1.13,-1.13,6958.33,-0.15,0.13,10.66,-0.13,-1.09,5.78,-0.54,-0.72,8.12
NEF,1964,4,-0.1,-0.9,1.04,0.18,17.89,-0.62,-1.69,31.7,-0.86,-0.86,6551.93,-0.14,0.52,11.91,0.0,-0.47,8.59,-0.31,-0.19,9.65
NPL,1964,4,0.21,0.06,0.02,-0.01,31.15,-0.24,0.38,20.85,1.08,1.08,7513.33,-0.29,-0.08,9.79,0.13,-0.6,7.92,-0.03,-1.04,7.33
NWP,1964,4,0.12,-0.7,-0.17,-2.31,18.31,0.48,-0.3,49.75,-0.22,-0.22,7015.81,-0.09,-0.04,9.78,-0.11,-0.4,8.43,0.63,-0.75,8.21
SEA,1964,4,-0.1,0.59,0.64,1.73,25.76,0.09,2.2,78.95,-1.11,-1.11,7078.56,0.18,0.58,12.01,-0.08,-0.2,8.75,0.01,1.31,13.27
SPL,1964,4,-0.17,-0.13,0.29,1.19,43.69,-0.38,-0.51,31.92,-1.52,-1.52,7055.11,-0.28,-0.31,9.04,0.22,-0.23,9.27,0.11,-0.17,9.63
SWP,1964,4,-0.1,-0.32,0.75,0.81,75.75,-0.53,-0.6,19.66,-0.63,-0.63,7038.71,0.06,0.29,10.94,-0.01,-0.55,8.35,-0.13,-0.26,8.92
CAN,1964,4,-0.07,-1.01,0.34,-0.96,22.69,-0.22,-0.93,34.09,-0.58,-0.58,6898.35,-0.21,0.04,10.19,0.0,-0.79,8.24,-0.13,-1.32,7.93
USA,1964,4,-0.13,-0.12,0.64,0.98,42.33,-0.48,-0.4,36.3,-0.8,-0.8,7059.34,0.01,-0.03,9.84,-0.06,-0.23,9.43,-0.07,0.12,10.22
USC,1964,4,-0.12,-0.49,0.64,0.72,37.4,-0.51,-0.56,35.67,-0.79,-0.79,7025.45,-0.11,-0.01,9.97,-0.04,-0.59,8.92,-0.16,-0.75,9.08
ALA,1965,1,0.05,-0.93,-0.77,-1.86,27.08,0.45,-0.52,19.09,1.02,1.02,7154.5,0.22,1.62,20.18,-0.43,-1.27,2.54,0.25,-0.63,8.58
CAR,1965,1,-0.06,-0.68,,,,0.39,-0.58,8.26,,,,0.09,1.74,19.18,-0.3,-0.74,7.2,-0.24,0.35,11.02
CEA,1965,1,-0.29,0.23,0.79,1.84,20.1,-0.5,0.1,38.68,-0.89,-0.89,6927.61,0.27,0.26,11.67,-0.2,0.55,12.08,-0.64,-0.23,9.37
CWP,1965,1,-0.11,0.65,-0.1,-0.84,39.05,-0.25,2.0,68.92,-0.24,-0.24,7124.93,0.06,-0.5,7.11,-0.02,0.07,10.17,-0.01,1.94,16.94
MID,1965,1,0.08,0.37,0.67,1.41,27.4,-0.48,0.46,27.6,,,,0.01,0.59,13.26,0.13,0.18,10.77,0.07,0.37,10.98
NEA,1965,1,-0.14,0.16,1.02,0.25,15.71,-0.07,1.23,48.97,-1.18,-1.18,6955.0,-0.07,-0.27,9.36,-0.23,-0.04,9.99,-0.45,0.79,12.17
NEF,1965,1,-0.13,-0.19,1.06,-0.12,17.39,-0.6,1.21,29.68,-0.96,-0.96,6638.6,-0.01,0.58,12.5,-0.06,-0.29,9.33,-0.21,0.58,10.96
NPL,1965,1,0.2,-0.15,0.02,0.02,31.26,-0.13,0.98,13.98,1.07,1.07,7330.0,-0.2,1.04,15.67,0.08,-1.0,5.02,-0.02,-0.64,8.19
NWP,1965,1,0.09,-0.62,-0.26,-2.35,18.2,0.55,1.39,53.06,-0.21,-0.21,7083.96,0.01,1.11,17.17,-0.12,-0.73,6.51,0.58,-0.83,8.25
SEA,1965,1,-0.08,0.54,0.77,1.35,24.98,0.12,0.13,58.02,-1.13,-1.13,6922.13,0.21,-0.14,9.61,-0.02,1.23,15.58,0.01,1.16,12.27
SPL,1965,1,-0.15,0.42,0.34,1.1,43.42,-0.39,0.56,21.85,-1.48,-1.48,6910.33,-0.28,0.07,10.4,0.25,0.17,10.59,0.14,1.47,12.86
SWP,1965,1,-0.08,0.39,0.72,0.8,75.66,-0.52,0.18,30.35,-0.63,-0.63,7040.88,0.01,-0.19,9.09,0.05,0.35,11.49,-0.09,1.01,13.9
CAN,1965,1,-0.09,-0.39,0.31,-1.05,22.57,-0.14,1.84,31.37,-0.64,-0.64,6952.1,-0.06,1.24,15.09,-0.07,-0.9,7.26,-0.08,0.11,10.2
USA,1965,1,-0.13,0.37,0.62,0.81,41.89,-0.44,0.77,33.34,-0.83,-0.83,6991.14,0.06,0.48,11.7,-0.02,0.11,10.35,-0.02,1.51,12.16
USC,1965,1,-0.13,0.17,0.62,0.56,37.04,-0.44,1.35,32.7,-0.83,-0.83,6982.92,-0.01,0.9,13.21,-0.05,-0.45,8.96,-0.07,1.19,11.19
ALA,1965,2,0.05,0.41,-0.89,-1.75,27.52,0.57,1.34,24.02,0.94,0.94,7015.23,0.25,0.37,12.72,-0.37,1.35,17.84,0.29,1.83,15.09
CAR,1965,2,-0.07,-0.5,,,,0.25,-2.24,5.07,,,,0.11,0.52,12.65,-0.22,0.79,13.6,-0.2,-0.02,9.96
CEA,1965,2,-0.3,-0.89,0.88,1.3,19.12,-0.6,-2.05,29.11,-0.94,-0.94,6969.49,0.2,0.42,11.06,-0.21,-0.4,8.43,-0.73,-2.8,3.36
CWP,1965,2,-0.17,-0.76,-0.18,-0.83,39.14,-0.32,-1.01,23.33,-0.3,-0.3,6970.0,0.08,1.08,13.29,-0.07,-0.64,7.0,-0.05,-0.65,8.55
MID,1965,2,0.11,-0.22,0.7,0.62,25.35,-0.46,-0.04,42.61,,,,-0.09,1.39,14.63,0.18,-0.02,10.01,0.03,-0.25,9.33
NEA,1965,2,-0.15,-0.27,1.03,0.5,16.12,-0.17,-1.44,30.3,-1.23,-1.23,6901.67,-0.06,0.02,10.07,-0.26,-0.72,6.82,-0.34,0.83,11.75
NEF,1965,2,-0.17,-1.11,1.06,-0.16,17.32,-0.69,-1.41,26.77,-1.14,-1.14,6754.6,-0.02,0.87,12.7,-0.06,-0.59,7.68,-0.2,-1.33,7.28
NPL,1965,2,0.16,-0.52,0.03,0.43,32.76,-0.18,-0.1,18.07,1.07,1.07,7276.67,-0.13,1.93,19.41,0.06,-0.97,5.09,-0.17,-1.54,6.46
NWP,1965,2,0.02,-0.86,-0.35,-1.66,19.83,0.47,-0.76,29.92,-0.27,-0.27,6923.22,0.08,1.35,16.25,-0.12,0.07,10.34,0.46,-0.17,9.66
SEA,1965,2,-0.02,-0.31,0.89,1.31,24.91,0.09,-1.1,51.53,-1.16,-1.16,6931.39,-0.02,-0.06,9.71,0.08,1.0,12.72,-0.04,-1.58,5.47
SPL,1965,2,-0.12,-0.61,0.38,0.81,42.48,-0.31,-0.28,34.43,-1.47,-1.47,6930.56,-0.28,1.75,15.53,0.26,-0.68,7.74,0.13,-0.23,9.5
SWP,1965,2,-0.1,-0.24,0.66,0.33,71.94,-0.49,0.16,22.14,-0.58,-0.58,6993.63,0.09,1.35,14.73,-0.02,-0.72,6.57,-0.08,-0.27,8.76
CAN,1965,2,-0.16,-1.12,0.28,-0.38,23.58,-0.27,-1.57,24.49,-0.8,-0.8,6891.27,-0.02,1.34,14.82,-0.06,-0.46,8.46,-0.11,-0.8,8.84
USA,1965,2,-0.13,-0.63,0.59,0.31,40.55,-0.43,-0.84,33.29,-0.88,-0.88,6969.41,0.03,1.57,13.62,0.0,0.06,9.96,-0.03,-0.53,9.06
USC,1965,2,-0.16,-0.91,0.58,0.22,36.28,-0.46,-1.12,30.71,-0.94,-0.94,6952.96,0.01,1.59,14.18,-0.04,-0.23,9.39,-0.11,-1.01,8.95
